metric,val_prec,val_recall,val_f1,test_prec,test_recall,test_f1,name,freeze_enc,params,data,tag_emb_type,tag_emb,tag_rnn,par_rnn,par_rnn_l,mlp_h,arc_norm,par_rnn_h,par_type,par_gnn_layers,seed,training_steps
parser_labeled_results,0.6628,0.6421,0.6523,0.6103,0.5966,0.6034,bert-base-uncased,frozen,3.41,yamakata,linear,0,0,LSTM,2,500,0,200,simple,0,4,2000
parser_labeled_results,0.6659,0.64,0.6527,0.6225,0.6014,0.6118,bert-base-uncased,frozen,3.41,yamakata,linear,0,0,LSTM,2,500,0,200,simple,0,0,2000
parser_labeled_results,0.6699,0.6371,0.6531,0.6246,0.5966,0.6103,bert-base-uncased,frozen,3.41,yamakata,linear,0,0,LSTM,2,500,0,200,simple,0,2,2000
parser_labeled_results,0.6555,0.5725,0.6112,0.6484,0.565,0.6038,bert-base-uncased,frozen,2.99,conll04,linear,0,0,LSTM,2,300,1,200,simple,0,1,2000
parser_labeled_results,0.607,0.6037,0.6053,0.6133,0.6069,0.6101,bert-base-uncased,frozen,2.99,conll04,linear,0,0,LSTM,2,300,1,200,simple,0,4,2000
parser_labeled_results,0.6753,0.5725,0.6197,0.6515,0.5785,0.6128,bert-base-uncased,frozen,2.99,conll04,linear,0,0,LSTM,2,300,1,200,simple,0,0,2000
parser_labeled_results,0.6675,0.5083,0.5771,0.6173,0.5112,0.5593,bert-base-uncased,frozen,2.99,conll04,linear,0,0,LSTM,2,300,1,200,simple,0,2,2000
parser_labeled_results,0.6373,0.5578,0.5949,0.6437,0.5725,0.606,bert-base-uncased,frozen,2.99,conll04,linear,0,0,LSTM,2,300,1,200,simple,0,3,2000
parser_labeled_results,0.6771,0.4771,0.5597,0.6296,0.4903,0.5513,bert-base-uncased,frozen,2.99,conll04,linear,0,0,LSTM,2,300,0,200,simple,0,4,2000
parser_labeled_results,0.5525,0.5505,0.5515,0.5565,0.559,0.5578,bert-base-uncased,frozen,2.99,conll04,linear,0,0,LSTM,2,300,0,200,simple,0,3,2000
parser_labeled_results,0.535,0.6037,0.5672,0.5176,0.5934,0.5529,bert-base-uncased,frozen,2.99,conll04,linear,0,0,LSTM,2,300,0,200,simple,0,2,2000
parser_labeled_results,0.5589,0.5743,0.5665,0.538,0.5605,0.549,bert-base-uncased,frozen,2.99,conll04,linear,0,0,LSTM,2,300,0,200,simple,0,0,2000
parser_labeled_results,0.5925,0.5523,0.5717,0.6013,0.5501,0.5746,bert-base-uncased,frozen,2.99,conll04,linear,0,0,LSTM,2,300,0,200,simple,0,1,2000
parser_labeled_results,0.5857,0.6147,0.5998,0.5799,0.5964,0.5881,bert-base-uncased,frozen,2.75,conll04,linear,0,0,LSTM,2,100,1,200,simple,0,2,2000
parser_labeled_results,0.5811,0.5982,0.5895,0.5603,0.5904,0.575,bert-base-uncased,frozen,2.75,conll04,linear,0,0,LSTM,2,100,1,200,simple,0,0,2000
parser_labeled_results,0.6015,0.5817,0.5914,0.6018,0.5964,0.5991,bert-base-uncased,frozen,2.75,conll04,linear,0,0,LSTM,2,100,1,200,simple,0,4,2000
parser_labeled_results,0.6208,0.5798,0.5996,0.5997,0.58,0.5897,bert-base-uncased,frozen,2.75,conll04,linear,0,0,LSTM,2,100,1,200,simple,0,3,2000
parser_labeled_results,0.6032,0.5523,0.5766,0.6364,0.565,0.5986,bert-base-uncased,frozen,2.75,conll04,linear,0,0,LSTM,2,100,1,200,simple,0,1,2000
parser_labeled_results,0.6,0.567,0.583,0.5847,0.5725,0.5785,bert-base-uncased,frozen,2.75,conll04,linear,0,0,LSTM,2,100,0,200,simple,0,0,2000
parser_labeled_results,0.6214,0.5541,0.5858,0.6127,0.5321,0.5696,bert-base-uncased,frozen,2.75,conll04,linear,0,0,LSTM,2,100,0,200,simple,0,1,2000
parser_labeled_results,0.5636,0.5688,0.5662,0.5687,0.5874,0.5779,bert-base-uncased,frozen,2.75,conll04,linear,0,0,LSTM,2,100,0,200,simple,0,4,2000
parser_labeled_results,0.615,0.5101,0.5577,0.6024,0.5277,0.5625,bert-base-uncased,frozen,2.75,conll04,linear,0,0,LSTM,2,100,0,200,simple,0,2,2000
parser_labeled_results,0.5474,0.5725,0.5596,0.5456,0.5815,0.563,bert-base-uncased,frozen,2.75,conll04,linear,0,0,LSTM,2,100,0,200,simple,0,3,2000
parser_labeled_results,0.7021,0.4972,0.5822,0.6792,0.4843,0.5654,bert-base-uncased,frozen,3.31,conll04,linear,0,0,LSTM,2,500,1,200,simple,0,1,2000
parser_labeled_results,0.6221,0.5376,0.5768,0.6296,0.5411,0.582,bert-base-uncased,frozen,3.31,conll04,linear,0,0,LSTM,2,500,1,200,simple,0,4,2000
parser_labeled_results,0.6514,0.5211,0.579,0.6403,0.5561,0.5952,bert-base-uncased,frozen,3.31,conll04,linear,0,0,LSTM,2,500,1,200,simple,0,2,2000
parser_labeled_results,0.6747,0.5138,0.5833,0.6487,0.5411,0.5901,bert-base-uncased,frozen,3.31,conll04,linear,0,0,LSTM,2,500,1,200,simple,0,3,2000
parser_labeled_results,0.627,0.5615,0.5924,0.5808,0.5426,0.5611,bert-base-uncased,frozen,3.31,conll04,linear,0,0,LSTM,2,500,1,200,simple,0,0,2000
parser_labeled_results,0.6675,0.4862,0.5626,0.6688,0.4738,0.5547,bert-base-uncased,frozen,3.31,conll04,linear,0,0,LSTM,2,500,0,200,simple,0,4,2000
parser_labeled_results,0.6234,0.5376,0.5773,0.5859,0.5351,0.5594,bert-base-uncased,frozen,3.31,conll04,linear,0,0,LSTM,2,500,0,200,simple,0,2,2000
parser_labeled_results,0.576,0.5284,0.5512,0.5519,0.5247,0.5379,bert-base-uncased,frozen,3.31,conll04,linear,0,0,LSTM,2,500,0,200,simple,0,0,2000
parser_labeled_results,0.6237,0.5321,0.5743,0.5802,0.5247,0.551,bert-base-uncased,frozen,3.31,conll04,linear,0,0,LSTM,2,500,0,200,simple,0,1,2000
parser_labeled_results,0.5861,0.5743,0.5802,0.5387,0.5516,0.5451,bert-base-uncased,frozen,3.31,conll04,linear,0,0,LSTM,2,500,0,200,simple,0,3,2000
parser_labeled_results,0.2685,0.239,0.2529,0.3645,0.2978,0.3278,bert-base-uncased,frozen,8.41,scierc,linear,0,0,LSTM,2,300,1,400,simple,0,1,2000
parser_labeled_results,0.2573,0.263,0.2601,0.2784,0.252,0.2645,bert-base-uncased,frozen,8.41,scierc,linear,0,0,LSTM,2,300,1,400,simple,0,3,2000
parser_labeled_results,0.2506,0.207,0.2267,0.2638,0.2195,0.2396,bert-base-uncased,frozen,8.41,scierc,linear,0,0,LSTM,2,300,1,400,simple,0,0,2000
parser_labeled_results,0.2662,0.243,0.2541,0.2971,0.2543,0.274,bert-base-uncased,frozen,8.41,scierc,linear,0,0,LSTM,2,300,1,400,simple,0,4,2000
parser_labeled_results,0.3105,0.249,0.2764,0.3588,0.2635,0.3039,bert-base-uncased,frozen,8.41,scierc,linear,0,0,LSTM,2,300,1,400,simple,0,2,2000
parser_labeled_results,0.3137,0.197,0.242,0.3604,0.22,0.2732,bert-base-uncased,frozen,8.41,scierc,linear,0,0,LSTM,2,300,0,400,simple,0,1,2000
parser_labeled_results,0.2178,0.196,0.2063,0.2468,0.2205,0.2329,bert-base-uncased,frozen,8.41,scierc,linear,0,0,LSTM,2,300,0,400,simple,0,2,2000
parser_labeled_results,0.2673,0.244,0.2551,0.3006,0.2612,0.2796,bert-base-uncased,frozen,8.41,scierc,linear,0,0,LSTM,2,300,0,400,simple,0,4,2000
parser_labeled_results,0.249,0.249,0.249,0.2732,0.2561,0.2644,bert-base-uncased,frozen,8.41,scierc,linear,0,0,LSTM,2,300,0,400,simple,0,0,2000
parser_labeled_results,0.2711,0.215,0.2398,0.3001,0.2256,0.2575,bert-base-uncased,frozen,8.41,scierc,linear,0,0,LSTM,2,300,0,400,simple,0,3,2000
parser_labeled_results,0.2868,0.218,0.2477,0.3585,0.2534,0.2969,bert-base-uncased,frozen,8.01,scierc,linear,0,0,LSTM,2,100,1,400,simple,0,2,2000
parser_labeled_results,0.2849,0.245,0.2634,0.3694,0.2909,0.3255,bert-base-uncased,frozen,8.01,scierc,linear,0,0,LSTM,2,100,1,400,simple,0,4,2000
parser_labeled_results,0.2696,0.248,0.2583,0.3472,0.2983,0.3209,bert-base-uncased,frozen,8.01,scierc,linear,0,0,LSTM,2,100,1,400,simple,0,0,2000
parser_labeled_results,0.2647,0.243,0.2534,0.3434,0.2849,0.3114,bert-base-uncased,frozen,8.01,scierc,linear,0,0,LSTM,2,100,1,400,simple,0,3,2000
parser_labeled_results,0.2701,0.238,0.2531,0.3306,0.2612,0.2918,bert-base-uncased,frozen,8.01,scierc,linear,0,0,LSTM,2,100,1,400,simple,0,1,2000
parser_labeled_results,0.2765,0.274,0.2752,0.3184,0.2788,0.2973,bert-base-uncased,frozen,8.01,scierc,linear,0,0,LSTM,2,100,0,400,simple,0,3,2000
parser_labeled_results,0.2632,0.234,0.2478,0.3298,0.2705,0.2972,bert-base-uncased,frozen,8.01,scierc,linear,0,0,LSTM,2,100,0,400,simple,0,4,2000
parser_labeled_results,0.3014,0.258,0.278,0.3236,0.2557,0.2856,bert-base-uncased,frozen,8.01,scierc,linear,0,0,LSTM,2,100,0,400,simple,0,2,2000
parser_labeled_results,0.2644,0.221,0.2407,0.3135,0.2487,0.2774,bert-base-uncased,frozen,8.01,scierc,linear,0,0,LSTM,2,100,0,400,simple,0,0,2000
parser_labeled_results,0.3035,0.227,0.2597,0.3375,0.2348,0.277,bert-base-uncased,frozen,8.01,scierc,linear,0,0,LSTM,2,100,0,400,simple,0,1,2000
parser_labeled_results,0.2723,0.238,0.254,0.3817,0.2987,0.3352,bert-base-uncased,frozen,8.9,scierc,linear,0,0,LSTM,2,500,1,400,simple,0,1,2000
parser_labeled_results,0.276,0.279,0.2775,0.3195,0.3025,0.3107,bert-base-uncased,frozen,8.9,scierc,linear,0,0,LSTM,2,500,1,400,simple,0,2,2000
parser_labeled_results,0.2502,0.263,0.2565,0.329,0.3191,0.324,bert-base-uncased,frozen,8.9,scierc,linear,0,0,LSTM,2,500,1,400,simple,0,0,2000
parser_labeled_results,0.3094,0.258,0.2814,0.3838,0.2992,0.3363,bert-base-uncased,frozen,8.9,scierc,linear,0,0,LSTM,2,500,1,400,simple,0,3,2000
parser_labeled_results,0.2639,0.242,0.2525,0.3401,0.2881,0.3119,bert-base-uncased,frozen,8.9,scierc,linear,0,0,LSTM,2,500,1,400,simple,0,4,2000
parser_labeled_results,0.2804,0.24,0.2586,0.303,0.2608,0.2803,bert-base-uncased,frozen,8.9,scierc,linear,0,0,LSTM,2,500,0,400,simple,0,1,2000
parser_labeled_results,0.2654,0.19,0.2214,0.3107,0.2242,0.2604,bert-base-uncased,frozen,8.9,scierc,linear,0,0,LSTM,2,500,0,400,simple,0,3,2000
parser_labeled_results,0.2626,0.25,0.2561,0.3143,0.2705,0.2908,bert-base-uncased,frozen,8.9,scierc,linear,0,0,LSTM,2,500,0,400,simple,0,4,2000
parser_labeled_results,0.2454,0.186,0.2116,0.2573,0.1792,0.2113,bert-base-uncased,frozen,8.9,scierc,linear,0,0,LSTM,2,500,0,400,simple,0,2,2000
parser_labeled_results,0.2316,0.239,0.2352,0.2752,0.2571,0.2658,bert-base-uncased,frozen,8.9,scierc,linear,0,0,LSTM,2,500,0,400,simple,0,0,2000
parser_labeled_results,0.6636,0.6472,0.6553,0.6755,0.6154,0.644,bert-base-uncased,frozen,8.35,ade,linear,0,0,LSTM,2,300,1,400,simple,0,3,2000
parser_labeled_results,0.6859,0.6356,0.6598,0.7228,0.6394,0.6786,bert-base-uncased,frozen,8.35,ade,linear,0,0,LSTM,2,300,1,400,simple,0,4,2000
parser_labeled_results,0.6711,0.6711,0.6711,0.6755,0.6707,0.6731,bert-base-uncased,frozen,8.35,ade,linear,0,0,LSTM,2,300,1,400,simple,0,1,2000
